id,text,username,retweets,date
261255751991963649,#worldnews Romney 's Calls for Change Prompt an Obama Warning - Wall Street Journal: NBC... http:// bit.ly/XiEsx6 @WideRangeMarket,BreakYouTheNews,0,2012-10-25 00:59:59
261255751127949313,Paul Krugman: Romney Victory Could Mean 'Double-Dip Recession' http://www. huffingtonpost.com/2012/10/24/pau l-krugman-mitt-romney-recession_n_2008847.html … #p2 #p2b #romney #connecttheleft #GOP #economy,Wulalowe,1,2012-10-25 00:59:59
261255750599458818,Romney 's Calls for Change Prompt an Obama Warning - Wall Street Journal: NBCNews.comRomney's Calls for Change Pr... http:// bit.ly/REIg7N,CherriRoque5iw,0,2012-10-25 00:59:59
261255749123055617,All this bridge talk...if Romney wins y'all niggas gonna wish we had that second bridge to get the fuck on #voteordie,Sdotofdetroit,0,2012-10-25 00:59:59
261255744417042432,RT @slone : PHEW!!!!!!!!!! Now SOMEONE is reading THEM! Luckily Romney NOW receives •intelligence briefings• http:// bit.ly/SkvtWm #tcot,gipperguy,6,2012-10-25 00:59:58
261255743280381952,LMAO “ @MorganCherokee : @StiffOnDeseHoes oh lmao -.- because Romney is trying to kill is ...”,tiffyMontana,2,2012-10-25 00:59:57
261255740700901376,This is what a country run by Romney will look like. http:// instagr.am/p/RLzGV9m30A/,spotastic,2,2012-10-25 00:59:57
261255739987853312,"! MT @TheReidReport : Tto win, Obama has to beat Romney AND the mainstream media. The latter will protect #thenarrative as long as possible.",BuzzFeedBen,17,2012-10-25 00:59:56
261255736187826176,@MorganCherokee lol not even . I’m voting for Romney …,StiffOnDeseHoes,0,2012-10-25 00:59:56
261255736175259649,Life gone be crazy If Romney win. Smh,ElGwapo501,0,2012-10-25 00:59:56
261255736078790656,Barack Obama warns Middle America Mitt Romney would betray them http:// soc.li/2T0sKrm - from the great betrayer himself... unbelievable,mickgunn,0,2012-10-25 00:59:56
261255735126667264,There's no way Romney is gonna win . Fuck him !,JordanLorrainee,0,2012-10-25 00:59:55
261255733281173505,Our side has video evidence of Dem voter fraud http://www. redstate.com/jasonahart/201 2/10/24/faking-a-utility-bill-would-be-easy-enough/ … (via @RedState ) #p2 has... Just search 'Tagg Romney ' on Twitter,QUINTIX256,0,2012-10-25 00:59:55
261255732127756288,"@nytjim @devindwyer @marykbruce A guy from the Obama campaign says Romney doesn't have momentum (despite #s ), ya don't say!!",McGu1re,0,2012-10-25 00:59:55
261255732064837632,@thedailybeast OHIO for Romney !!!!,WardaModel,0,2012-10-25 00:59:55
261255731381166081,Could Romney Overturn Roe v. Wade? - You Betcha! Yahoo! News http:// news.yahoo.com/could-romney-o verturn-roe-v-wade-191602158.html … via @YahooNews,Nancy4Barack,0,2012-10-25 00:59:54
261255728919105536,"#CFO link: U.K. Pundits’ Views on Election, Economy: Businesses may turn on Romney , U.S. compa... http:// cpaclick.com/SvgGtP ^cm #CPA #finance",CPA_Trendlines,0,2012-10-25 00:59:54
261255728415780865,JUST IN! Michigan Poll: Obama and Romney in dead heat - Fox 2 News Headlines http:// awe.sm/i806O #MittRomney #LKYHBT #TCOT,LessGovMoreFun,1,2012-10-25 00:59:54
261255727585304576,Romney Supported Abortion Rights And Gays In The Boy Scouts.,TheRomneyBook,0,2012-10-25 00:59:54
261255725123256320,@itsgabrielleu @ChrisHarrisKS If Ted Bundy was still alive he would be a shoe in for a Romney Supreme Court. #terrifying,TrumpIsNotLegit,0,2012-10-25 00:59:53
261255722757660672,My grandma shared a Romney picture on Facebook.... -_______-,obeycandace,0,2012-10-25 00:59:52
261255721969143808,Back to rehab! RT @thedailybeast : Mitt Romney still needs Ohio to win the election http:// thebea.st/SuyVzH,Sprtydog,0,2012-10-25 00:59:52
261255720987664384,If Romney wins this election I'm killing myself,phiIophobia,0,2012-10-25 00:59:52
261255718978584576,ayee loka hackiinq yo twitter(: at dhe libray workinq on the obama && romney project:P,yostephany_,0,2012-10-25 00:59:51
261255718181691393,"I have to say this. The sad thing about this Presidential Election is that everyone is more for Romney to win, & against Our President #SMH",_Siobhan85_,0,2012-10-25 00:59:51
261255716885626880,Romney Campaign Looks Back With “Momentum” http://www. buzzfeed.com/zekejmiller/ro mney-campaign-looks-back-with-momentum … via @buzzfeed,ZekeJMiller,1,2012-10-25 00:59:51
261255713622478848,"Romney tweaks Obama's ""Forward"" slogan, hits him on school choice, then describes his own 5-point economic plan #RomneyIA",jasonnobleDMR,0,2012-10-25 00:59:50
261255713081409538,"No real Romney ground game vs expansive Obama ground game? Awesome! #TeamObamaBiden cc: @Lis_Smith , @LizPurchia , @OFA_IA http:// bit.ly/RkFG7u",slichtor,0,2012-10-25 00:59:50
261255710912962560,RT @AlanGrayson Romney : A Campaign of Lies http:// ow.ly/eKm67 #p2,RobertaSaidThat,1,2012-10-25 00:59:50
261255708958416898,"@Toure after hearing all of Romney 's foreign policies, Obama may vote for him.",Schottey,0,2012-10-25 00:59:49
261255705930129408,Obama: Romney trying to rewrite auto-bailout stance: The collaboration will include both clothing and accessorie... http:// bit.ly/XW1Vnh,DEROADREPORTER,0,2012-10-25 00:59:48
261255704294354944,Romney gonna be in roselawn tomorrow. Lmaoo let's see how this goes.,ItsOnlySavannah,1,2012-10-25 00:59:48
261255703472259073,"@dax247 Romney , we insist that you release your tax returns for 2007 thru 2009 NOW! #ReturnsNow [Please retweet if you agree]",NatureWoman63,0,2012-10-25 00:59:48
261255702671155200,"En USA en la cadena 7-eleven el café se puede ordenar en vasos con Opcion Obama color azul o Romney Rojo, va ganando mas Obama 59-41",smtzch,0,2012-10-25 00:59:48
